name;email
Полесский вестник газета;baltugk@bk.ru  
Главный врач Юга России журнал;info@akvarel2002.ru  
Мы женимся журнал;feedback@feedback.ru  mi_zhenimsya@mail.ru  
Пятая газета редакция;pdf@sovpress.ru  slovaidela@sovpress.ru  hochuvsssr@sovpress.ru  
Рязанские ведомости газета;210027@rv-ryazan.ru  
Вариант газета;variant_gazeta@mail.ru  ;
Урал журнал;dizbat1964@mail.ru  
Панорама газета;info@rbsmi.ru  help@rbsmi.ru  name@gmail.com  panorama0184@mail.ru  
Molecular Biology журнал;compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  aamakarov@eimb.ru  karpov@eimb.ru  
Русский инвалид газета;rinvalid@nm.ru  
Наша газета-Бессоновские известия газета;gazeta-bess@yandex.ru  potycheva@tfomspenza.ru  
Рядом с Вами газета;diadema-m1@mail.ru  diadema2005@mail.ru  sofi.go@live.ru  
Восточный Экспресс Подмосковья редакция газеты;vostexpress98@yandex.ru  
PC Week/RE журнал;editorial@pcweek.ru  adv@pcweek.ru  
Вятский край газета;vk-reklama.dima@mail.ru  
Курские известия газета;kursk-izvestia@yandex.ru  i.belozerova@ptpgroup.ru  i.petrischeva@ptpgroup.ru  
Семейный Бюджет газета;232485@mail.ru  allalife-@mail.ru  494249@mail.ru  gorod-reklama@bk.ru  
Мой город Березники газета;239059@perm.ru  
Здоровая столица журнал;exlibris@smpost.ru  
Русский пионер журнал;photo@neglinnaya-gallery.ru  podpiska@ruspioner.ru  
Наш Тольятти журнал;770092_tlt@mail.ru  
Секреты бизнеса журнал;292008@e58.ru  292029@e58.ru  
Региональная энергетика и энергосбережение журнал;info@s-kon.ru  
Free Тайм глянцевый журнал;tihonova23.82@mail.ru  anastasia.ionova.mio@mail.ru  isoltanova@bk.ru  queen-samara@mail.ru  
Рациональное освоение недр онлайн-журнал;chicherina@roninfo.ru  
Journal of Surface Investigation. X-ray Synchrotron and Neutron Techniques журнал;surf@crys.ras.ru  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Barlette журнал;interior@black-fox.ru  
Анналы клинической и экспериментальной неврологии журнал;soveropress@bk.ru  
Иркутские кулуары журнал;irk-kuluary@yandex.ru  
Маяк газета;dmcom2012@mail.ru  mayak31@list.ru  
Меркурий деловой журнал;udi@vcci.ru  
Про Ремонт журнал;remontpro.pro@yandex.ru  
Берёзовский рабочий газета;berbgo@gmail.com  
Берёзаinfo газета;beryozainfo@mail.ru  
Генетика журнал;iogen@vigg.ru  info@vigg.ru  
Oil & Gas Journal журнал;subscription@ogjrussia.com  
СМ Номер один газета;dyachkina@admirk.ru  edu@fcsp.ru  olga2@pressa.irk.ru  baikalinfo@pressa.irk.ru  
Городок газета;gorksl@mail.ru  
Игромания журнал;info@igromedia.ru  editorsite@igromania.ru  
Академия Энергетики журнал;ershova@powercity.ru  academy@powercity.ru  
Горожанин газета;director@tkgorod.ru  ns@tkgorod.ru  contact-galenika@list.ru  alfa-bratsk@mail.ru  foto-padun@mail.ru  
Смена журнал;stacia.veitch@www.festivalfuochidanzanti.com  m.ie.fe.ng.k.u.an.gni.u.bi..uk1.3@geeks2go4u.com  m.engl.uch.e.n.2@waha-iq.com  b.i.gw.ri.ternormaladj.ustmentpunye@lathie.senerew.com  meli.s.a.ri.c.h4223@islamiyasam.com  
Речник Енисея газета;info@e-river.ru  ;
Хресчен Сасси газета;hypar@mail.ru  
Большой Тольятти журнал;bigtlt@mail.ru  
Мебель & Интерьер журнал;taube@mebinterior.ru  
Горожане газета;gorojanem@mail.ru  otdel-kadrov@yandex.ru  dznakomstvo@mail.ru  psm1974v@yandex.ru  hochu2015@rambler.ru  
Черноморка газета;39tv@list.ru  chernomorka.anapa@mail.ru  
Известия высших учебных заведений России. Радиоэлектроника журнал;radioelectronic@yandex.ru  ;
Новый мир недвижимости журнал;stella117@mail.ru  moby183@mail.ru  uradik@bk.ru  mirned@inbox.ru  support@promirned.ru  
Междуречье газета;gazeta.kin.r@yandex.ru  gazeta.kin.r@mail.ru  
Советская Чувашия газета;soc@chuvashia.ru  reklama.sch@yandex.ru  
Жилищный вопрос газета;info@zvopros.ru  
Мурзилка журнал;konkursmur@gmail.com  red-murzilka@yandex.ru  smile-mur@yandex.ru  litmur@mail.ru  ana02tolik@mail.ru  
Лесной журнал;forest@narfu.ru  webmaster@narfu.ru  
Взгляд газета;gazetaregion12@yandex.ru  
ВСЯ Реклама газета;59915@bk.ru  
Поморская Столица журнал;info@sk-russia.ru  
International Residence журнал;info@internationalresidence.ru  info@lisbonsouthbay.com  maria.pressler@hotmail.com  olenakara@gmail.com  torreviejaorihuela@engelvoelkers.com  
Районный маяк газета;mayak_rg@mail.ru  
Казан утлары журнал;rostemzaripov@inbox.ru  kazanutlari@yandex.ru  alfiya.gazizova.1955@mail.ru  
АПК Эксперт журнал;pr@sdexpert.ru  
Империя холода журнал;holod@holodinfo.ru  
Гудвилл деловой журнал;goodwillpodpiska@yandex.ru  
Искра газета;oiskra@mail.ru  r.iskra@mail.ru  r.oiskra@mail.ru  
Волжская новь газета;vnov63@yandex.ru  ;
Уфимский меридиан газета;julekbd@bk.ru  aif1@ufanet.ru  a.rv3gb@yandex.ru  
Сельское хозяйство России: передовой опыт журнал;podpiska@panor.ru  reklama@panor.ru  
Факт и компромат газета;astnews@yandex.ru  
Светлый путь газета;yakti.ul76@gmail.com  yakti_ul@mail.ru  
Эхо Кузбасса газета;kem_gmpr@mail.ru  
Строительный Вестник журнал;sv18@list.ru  lk@azx.su  edk@edk.ru  
Наша Версия еженедельная газета;versia@versia.ru  
Красное знамя. Веневский район общественно-политическая газета;gazeta-venev@tularegion.org  
Загородное обозрение журнал;info@zagorod.spb.ru  alena@gorod.spb.ru  bella@zagorod.spb.ru  vadimov@gmail.com  editor@zagorod.spb.ru  
429 Too Many Requests;podpiska@bujet.ru  podpiska@rufincontrol.ru  post@rufincontrol.ru  adv@rufincontrol.ru  seminar@budget-edu.ru  ;
Химкинские новости газета;dash_ka@bk.ru  pozdnyakovyuv@mosreg.ru  vpga@mail.ru  herta76@mail.ru  ol.mujiri@yandex.ru  
Источник твоего города газета;kirovregion@list.ru  
РМЖ журнал;postmaster@doctormedia.ru  
БиНО: бюджетные учреждения журнал;bino@ekar.ru  redactor@ekar.ru  
Мои Часы журнал;catalog@mywatch.ru  web@mywatch.ru  eepifanova@mywatch.ru  office@mywatch.ru  vmedvedev@mywatch.ru  
Свежие объявления газета;prosto@pressa96.ru  
Сахарная свекла журнал;info@sugarbeet.ru  
Кадры газета;kadr869@yandex.ru  
Красивые дома журнал;agenturapks@gmail.com  h.podpiska@gmail.com  svetlana@houses.ru  esg@houses.ru  mail@progressivemedia.ru  
Новости Пионерского газета;newspionerskij@rambler.ru  newspionerskij@yandex.ru  
Аргументы и факты-Самара газета;amanakpz@ya.ru  
Glamour журнал;intellectualrights@condenast.ru  
Вкурсе газета;d.afisha@mail.ru  
ВАШ ИНФОПАРТНЕР газета;redaktor@finpres.ru  
Красногорские вести газета;glavred-vesti@yandex.ru  
Санкт-Петербургские ведомости газета;infopartner@spbvedomosti.ru  
Высокомолекулярные соединения журнал;webmaster@polymsci.ru  vms@ips.ac.ru  
Майские новости газета;mnkbr@mail.ru  ;
Ваша Свадьба журнал;pari-pr@yandex.ru  show-lab@yandex.ru  shchitova_nata@mail.ru  anatoliy_chekhov@mail.ru  
Энергетика и промышленность России газета;ep@eprussia.ru  advert@eprussia.ru  pr@eprussia.ru  podpiska@eprussia.ru  info@eprussia.ru  
Стоматология для всех журнал;info@sdvint.com  
Собеседник газета;gsob@inbox.ru  dok.prkom@mail.ru  gsob@mail.ru  gsob@list.ru  
Хьехархо республиканская учительская газета;amdinaev@gmail.com  ;
Свадьба Бурятии журнал;baikalmayak@gmail.com  ulan-ude2@well.ru  chayun.a@mail.ru  
Город. Планета. Тольятти. журнал;gorod-tlt@mail.ru  
Новый Красносел газета;zamalina@mail.ru  krasnosel@mail.ru  
Егорка журнал;egorka-72@list.ru  
Сити Симбирск газета;gazeta_city@mail.ru  
Камские зори рекламная компания;kamskie31@yandex.ru  kz-reklam@yandex.ru  rkzori@yandex.ru  
Кубань сегодня газета;kuban.segodnya@mail.ru  
Есть вариант! газета о недвижимости;reklama@upn.ru  pr1@upn.ru  analitic@upn.ru  ric@upn.ru  ap@upn.ru  
Вечерний Омск газета;vecherka55@mail.ru  
Лифтинформ журнал;liftinform@lift.ru  matsal@lift.ru  golin@lift.ru  tizengauz@lift.ru  melehin@lift.ru  
Новости недели Электростальская городская газета;dick85@mail.ru  elweek@mail.ru  amo@mosreg.ru  
Братская ярмарка газета;pressmen@bratsk.ru  
Городок газета;gorodok.g@yandex.ru  gubernator360@360tv.ru  
Н-Регион Медиа газета;pressa857@mail.ru  
Северный рабочий газета;redaktor@nworker.ru  
Рандеву журнал;teona@idea-mg.ru  
Контингент газета;autogas@i.kiev.ua  
Бизнес Online электронная газета;anons.bo@yandex.ru  grushin@idea-capital.com  grushin@himgrad.ru  faizullinaav@tdhleb.ru  info@poelidovolen.ru  
Аргументы и факты в Архангельске газета;aifgazeta@yandex.ru  emelyanova55@gmail.com  
Библиотечка профсоюзного актива и предпринимателей журнал;egorishsha@mail.ru  www-validator-css@w3.org  jigsaw@w3.org  
Vestnik St.Petersburg University: Mathematics журнал;journals@spbu.ru  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Вайнах литературно-художественный журнал;lizaadams777@mail.ru  ;
Ялкын журнал;yalkin@bk.ru  
Телесемь журнал;editor.t7.barnaul@hsmedia.ru  
ВОЛЖСКИЙ ПЕНСИОНЕР газета;pensioner_tlt@mail.ru  
Дельта-информ газета;delta-i@samtel.ru  
Московская перспектива газета;mailbox@mperspektiva.ru  
Вестник Татищевского муниципального района;admtat@tatishevo.ru  admtat@tatishevomr.ru  
Петровка 38 газета;petrovka-38@yandex.ru  petrovka38-art@bk.ru  
Слово газета;slovo-rss@rambler.ru  
Московский Комсомолец Урал газета;editor@mk-ural.ru  
Загородный отдых журнал;info@zadomikom.ru  zadomikomru@mail.ru  info@zaotdihom.ru  
Весь рабочий Барнаул газета;253737@bk.ru  vrb250992@mail.ru  support@vs-gazeta.ru  
Желаю познакомиться газета;assol-43@mail.ru  
Уфа журнал;karla007@mail.ru  journal-ufa@ufa.agidel.ru  journal-ufa@agidel.ru  krosh1969@list.ru  krechet83@mail.ru  
Бурение и нефть журнал;admin@burneft.ru  
Бизнес России журнал;leonteva@egsforum.ru  mail@oilandgasforum.ru  mail@egsforum.ru  elena@sino-rus.org  jiayuanpeinyb@gmail.com  
Нижнекамская правда газета;nk.pravda@mail.ru  
Экспорт Вооружений журнал;cardkit.ru@ya.ru  cast@cast.ru  
IT news газета;it.news@fsmedia.ru  it.marketing@fsmedia.ru  subscribe@fsmedia.ru  it.adv@fsmedia.ru  compitech@fsmedia.ru  
Генеральный директор журнал;a.boyarkin@gd.ru  ivaschenko@gd.ru  abramova@gd.ru  info@paper-design.ru  inbox@gd.ru  
Молния газета;nt@absolut-media.ru  souvenir@absolut-media.ru  trade@samaramail.ru  mironova@absolut-press.ru  
Мясная индустрия журнал;sub@meatind.ru  kaercher.pressoffice@ketchum.com  mabr@ag-loyalty.com  info@starhold.ru  
Chip журнал
Наш регион-Дальний Восток бизнес-газета;bmdv@mail.ru  
Рынок АПК интернет-портал агрообъявлений;pr@rynok-apk.ru  
Отечественная ге
Siberian Advances in Mathematics журнал;compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  webmaster@allertonpress.com  journals-ny@springer-sbm.com  
Идём Ва-Банк газета;vbtver@yandex.ru  
Профессия Предприниматель журнал;test@support.com  a.vahrushev@azimuth-group.ru  
Аргументы и Факты газет
Проблемы современной экономики журнал;gazizullin@mail.ru  noopolis@rambler.ru  alexanlr.kiselyov2010@yandex.ru  hasanova@etp.kstu-kai.ru  aaabishev@mail.ru  ;
СТО пудов еженедельник;gazetastopudov@mail.ru  primacard@mail.ru  sewytch@mail.ru  
Стольник-Югра журнал;100-86@bk.ru  pobeda86.pr@mail.ru  vibirai@bk.ru  vibirai-int@bk.ru  dostavka-pobeda@mail.ru  
Охотничьи просторы журнал;info@ohot-prostory.ru  
Пчеловодство журнал;beejournal@gmail.com  
Городская газета;info@reg.ru  ;
Отдел Кадров. Найди любимую работу! газета;omega84@mail.ru  
Наше слово газета;ns-voskr@mail.ru  
Стендмастер журнал;redaktor@stend-master.ru  
Кабели и провода журнал;kp@vniikp.ru  office@podolskkabel.ru  vniikp@vniikp.ru  lobanov@spcable.ru  teilor2010@gmail.com  
Старожиловские просторы газета;starpros@starozhil.ryazan.ru  
Womanjournal.ru интернет-журнал;a.burmistrova@rambler-co.ru  adv_wmj@rambler-co.ru  
Курган и Курганцы газета;mail@kikonline.ru  kik_online@mail.ru  
Госзакупки.ру журнал;stat@resobr.ru  sus@action-media.ru  
Народная школа журнал;chrio@cap.ru  
Петербургский театральный журнал;web@ptj.spb.ru  
Симбирский дом газета;pressa-simb@mail.ru  for@quali-soft.ru  
Мир детей и подростков газета;red@mirdp.ru  
Домино газета;support@domino-press.ru  
Бизнес-леди life журнал;info@businesslady-life.ru  
Объединенная редакция национальных газет Ханты ясанг и Луима сэрипос;gazeta@khanty-yasang.ru  ;
Компас рекламно-информационное издание;gazeta@compas-p.ru  
Агротехника и технологии журнал;agro.podpiska@imedia.ru  n.lomova@imedia.ru  n.lychev@imedia.ru  agro@imedia.ru  m.lushnikova@imedia.ru  
Alta costura magazine федеральный журнал;ekb@eafamilyclub.com  tyumen@eakidsclub.com  
Промышленность региона газета;sergey.kondratiev@arhprom.com  ivan.kondratiev@arhprom.com  anna.malysheva@arhprom.com  info@lesregion.ru  
Приморская газета;primgazeta@mail.ru  info@primgazeta.ru  primgazeta-docs@mail.ru  
Новая Бурятия газета;info@newbur.ru  
Бизнес и власть журнал;volga_sibir@sama.ru  
Даймохк республиканская газета;daimoxk@bk.ru  ;
Арзамасские новости газета;a-novosti@mail.ru  
Комсомольская Правда газета;ev@kp.kaluga.ru  vi@kp.kaluga.ru  sz@kp.kaluga.ru  
Промышленные вести газета;promvestvoronezh@mail.ru  3avrrc@yandex.ru  vrrc@yandex.ru  office@it-chernozemye.ru  v_centre@inbox.ru  
Seledka газета;seledka@ekproject.ru  mariagoncharova@list.ru  kuridzen@yandex.ru  kuzmin@me.com  carmensita@bk.ru  
Технологии Защиты журнал;mikhail.bocharov@axis.com  irina.ronning@axis.com  info@tatris.ru  
Дошколёнок журнал;cpd-prof@mail.ru  
Вестник журнал;info@ideuromedia.ru  euro@mediayug.ru  alibekova@mediayug.ru  info@mediayug.ru  amirova@mediayug.ru  
Узнавайка журнал;info@egmont.ru  
Истринские вести газета;ekaterina.sudakova@lukoil.com  super.xan2013@yandex.ru  giv@imperial-garden.ru  igor.dolmatov@thermon.com  imairena@mail.ru  
Пульс. Новые книги для библиотек журнал;prudnik@infra-m.ru  albina_hik@infra-m.ru  albina_nik@infra-m.ru  lasko_ia@infra-m.ru  kondakova_on@infra-m.ru  
Весь Закамск газета;zakamsk@bk.ru  
Тосненский вестник газета;tosnvestnik@rambler.ru  
Красное знамя информационно-издательский центр;editor@ya-roditel.ru  
Площадь Свободы газета;ekocheva@yandex.ru  nachalotlt@ya.ru  orientser@gmail.com  tkmuseum@mail.ru  roma-jul@yandex.ru  
Купи-Продай в РБ газета;kupiprodai@mail.ru  gazmon@mail.ru  magnum86rus94@mail.ru  
Московский уролог газета;info@bionika-media.ru  
Элмэт таннары газета;atannary@yandex.ru  
Мой малыш журнал;moy-malysh61@yandex.ru  
Инвожо журнал;invozho@bk.ru  name@example.com  
Огни Енисея газета;ogni08@mail.ru  
Московский комсомолец на Алтае газета;mkaltay@mail.ru  
PRO Cвадьбу журнал;pro-svadbu@mail.ru  
Get Up журнал;saratov@getupmag.ru  
Медико-фармацевтический вестник Татарстана газета;podpiska@mfvt.ru  mfvt@mfvt.ru  klb2@inbox.ru  kaz_gdb1@mail.ru  
Окна и Двери журнал;web@ssk-inform.com  com@s
Заря информационно-издательский центр;admin@isetsk72.ru  edit@vsluh.ru  post@t-l.ru  support@gosuslugi.ru  iaukimp@mail.ru  
Реклама газета;reklama-elista@yandex.ru  
Женщина Дагестана журнал;dobropokrugu@mail.ru  
The Open журнал;gazeta_zk@mail.ru  support@webrazrabotka.ru  
Родные берега газета;lana.taskaeva@yandex.ru  r-berega@yandex.ru  chekuskina@gks.ru  berega@academ.org  maslov_sa@mail.ru  
Свадебный марш журнал;editor@iperm.ru  
Аргументы и Факты-Псков газета;i.kaplan@mhpsk.ru  ukonpskov@mvd.ru  dobroe@aif.ru  
Из первых рук газета;irr@iva-pronto.ru  
ДетKids журнал;detkids12@gmail.com  modelscamp@mail.ru  
Вовремя газета;gazetavvr@gmail.com  
Достояние Республики журнал;myimperia@mail.ru  
Архитектура. Строительство. Дизайн. журнал;info@archjournal.ru  masa@co.ru  info@interglass-expo.com  info@print-expo.com  info@toiletexpo.com  
Южно-Сахалинск Сегодня газета;redaktor@yusakh.ru  
Bulletin of the Lebedev Physics Institute журнал;webmaster@allertonpress.com  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Красное знамя газета;kr_znam@list.r
Земля-землица газета;info@zemlya-zemlitsa.ru  zemlitsa@bk.ru  tatreklama@mail.ru  
Коммунальный комплекс России журнал;mpr@gkhprofi.ru  gr@gkhprofi.ru  comross@rambler.ru  blymberg@bk.ru  g
Lobachevskii Journal of Mathematics журнал;public.mail@kpfu.ru  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Василий Иваныч сборник сканвордов;client@smile-expo.com  
Штат журнал;hello@hrmedia.ru  
Идеи Вашего Дома журнал;online@burda.ru  editor@ivd.ru  t.zimogorova@burda.ru  a.khatskevich@burda.ru  e.vasiltsova@burda.ru  
Бизнес Новости в Кирове газета;vashabalin@yandex.ru  moljusha@mail.ru  a.a.belova@mail.ru  lena.okatieva@yandex.ru  forum@ntf.ru  
Власть труда газета;vtruda@mail.ru  
Новый шанс газета;tp555@yandex.ru  ;
Курьер Беломорья газета;kb-reklama@mail.ru  
Get avto сетевой журнал;info@cet-auto.ru  
Щёкинский вестник газета;vestnikschekino@mail.ru  vestnikschekino@tularegion.org  
Возможны Варианты газета;trovant@trovant.ru  sandra@trovant.ru  tan@trovant.ru  victor@trovant.ru  gass@trovant.ru  
РИО Панорама информационно-рекламный еженедельник;rio@rio-panorama.ru  
Финансовая аналитика: проблемы и решения журнал;post@fin-izdat.ru  
Новый взляд газета;gazeta.city@yandex.ru  ;
АРТ журнал;kultsykt@mail.ru  info@sovetgoroda.com  creko@kriro.ru  kray@nbrkomi.ru  merja.jokela@venajaseura.com  
Школа и производство журнал;info@schoolpress.ru  marketing@schoolpress.ru  bookred@schoolpress.ru  defektolog@ikprao.ru  sip@schoolpress.ru  
Правовое обозрение газета;gorlova_o@ic-iskra.ru  privalikhina_o@ic-iskra.ru  darovskaya_l@ic-iskra.ru  latysheva_e@ic-iskra.ru  bredikhina_s@ic-iskra.ru  
РЖД-Партнер журнал;n.schegoleva@atoevents.ru  goshafriend@mail.ru  chudaev96@yandex.ru  press@russia2017.com  
Экстра краевая независимая газета;admins@zabmedia.ru  zabmediaru@yandex.ru  
Балтийский луч газета;ya.bluch@ya.ru  savenkova.luch@yandex.ru  
Арсеньевские вести газета;av@arsvest.ru  editor@arsvest.ru  rtg@narod.ru  reklama@arsvest.ru  
Esquire журнал;esquire@imedia.ru  
Якутия газета;oloxoy@mail.ru  
Властная вертикаль ФЕДЕРАЦИИ газета;vfgazeta@mail.ru  grgazeta@mail.ru  
Journal of Applied Mechanics and Technical Physics журнал;pmtf@sibran.ru  journal@sibran.ru  sale@sibran.ru  compmg@maik.ru  customerservice@springer.com  
Наноиндустрия журнал;knigi@technosphera.ru  
Химико-фармацевтический журнал;chem@folium.ru  
Деловой Брянск журнал;mailbox@btpp.org  
Двигатель журнал;dvigatell@yandex.ru  
Казань журнал;superkazan2016@gmail.com  kazan-magazine@yandex.ru  
Инфоцентр;admin@website.ru  kalina0401@gmail.com  luda5354@gmail.com  ouserdyuk@gmail.com  safonovaleonilla93@mail.ru  
Арбитражный управляющий журнал;info@au-journal.ru  events.predprim@gmail.com  palekhovakya@mail.ru  
PROТомск рекламная группа;protomsk2@yandex.ru  
Православная газета;baibakov@etel.ru  ozina-tip@rambler.ru  kozina-tip@rambler.ru  kohan1963@rambler.ru  ekeparhiya@rambler.ru  
Хамелеон журнал-справочник;usvetlani.ru@yandex.ru  info@sprhameleon.ru  
Утро Петербурга газета;79219697028@yandex.ru  malysheva_va@mail.ru  utropeterburga@inbox.ru  ;
Газета Огни;gazetaogni@mail.ru  
Ямская Слобода газета;post@province.ru  aleksandrraleksandrr@rambler.ru  
Инженерные изыскания журнал;info@geomark.ru  
Спорт-экспресс газета;feedback@sport-express.ru  sport@sport-express.ru  
Красноярский железнодорожник газета;gudok@css-rzd.ru  welcome@gudok.ru
Из рук в руки газета;sales@irr.ru  welcome@irr.ru  unsubscribe@irr.ru  support@irr.ru  irvrkonovalova@mail.ru  
Комсомольская правда-Брянск газета;kpbryansk@mail.ru  kp@kp.ru  
Директор-Урал журнал;director-ural@yandex.ru  
Хибинский Вестник газета;hibvest@mail.ru  stefan-55@mail.ru  sne-7@yandex.ru  
Глагол газета;glagol.miass@mail.ru  
Морские вести России газета;morvesti@morvesti.ru  
Майдан журнал;maydan06@mail.ru  
Вся реклама еженедельная рекламно-информационная газета;vsyareklama@list.ru  
Путь Октября газета;st-put@belgtts.ru  st-put@yandex.ru  
Hi+Med. Высокие технологии в медицине журнал;himed@himedtech.ru  
Аргументы и факты-Петербург газета;savva1999@yandex.ru  
Коммерсант в Казани газета;podpiska@kommersant.ru  academy@kommersant.ru  dmitrievaalb@rambler.ru  irina@kazan.kommersant.ru  
Контрольная закупка журнал;ekb.kz@mail.ru  
Кamaz журнал;callcentre@kamaz.org  
Программная инженерия журнал;antonov@novtex.ru  
Третья столица газета;ekaterina-k@mail.ru  tpopova55@gmail.com  
Бельские просторы журнал;bp2002@inbox.ru  
Электроэнергия. Передача и распределение журнал;subscribepro-subscribe@eepir.ru  
Краснодарские известия газета;ng@ki-gazeta.ru  ak@ki-gazeta.ru  sport@ki-gazeta.ru  koroleva@ki-gazeta.ru  ki-gazeta@mail.ru  
Совершенство журнал;office@perfect-magazine.ru  
Работодатели Тюмени газета;49171@mail.ru  
Detkids журнал для родителей;detkids@yandex.ru  
Прогресс технологий журнал;reklama@ugspectehnika.ru  org@ugspectehnika.ru  material@ugspectehnika.ru  
БЕЗ КОМИССИИ интернет-газета;info@bezco.ru  sofi_pogosyan@mail.ru  
Глобус журнал;pankova@mining2018.ru  expo@mining2018.ru  
Самара и Губерния областной журнал;post@sgubern.ru  sgubern@mail.ru  city@samadm.ru  tgl@tgl.ru  admszr@mail.ru  
Анапское Черноморье газета;oao-pdk@pdkuban.ru  achbuh@mail.ru  susanna@pdkuban.ru  dina@pdkuban.ru  buh3@pdkuban.ru  
Workblank.ru книжный интернет-магазин технической литературы;tehkniga-3@ya.ru  
Южноуральская панорама газета;reklama@up74.ru  mail@up74.ru  m-gainullin@mail.ru  up-rabota@mail.ru  89090806248@mail.ru  
Красноярская газета;lis.russian@gmail.com  
Вечерний Волгоград газета;vv_red@vpravda.ru  
Люберецкая газета;izdatlg@yandex.ru  kuz66inf@list.ru  bbkrus@bk.ru  
Экохроника журнал;sezam@severo-zapad.com  
Патенты и лицензии. Интеллектуальные права журнал;patentslicences@mtu-net.ru  pl@patentinfo.ru  pl-pp@ya.ru  
Исследования и практика в медицине журнал;rpmjournal@gmail.com  
Ремедиум Приволжье;redact@medial-journal.ru  commerc@remedium-nn.ru  ;
Мозаика газета;novosti@mosaica.ru  
Бизнес-Журнал. Кузбасс региональное издательство федерального ежемесячного делового издания;info@b-mag.ru  
Филателия журнал;order@marka-art.ru  ;
Stop-газета газета;stopgazeta.bdd@gmail.com  stopgazeta@pressa.rmt.ru  
Ва-Банкъ газета;reklama@prokrasnodar.ru  dostavka@prokrasnodar.ru  red@prokrasnodar.ru  test@test.ru  bsfc@bsfc.com  
Выбор газета;gazeta_vibor@rambler.ru  
Дайджест русской и зарубежной недвижимости журнал;info@tendence-lifestyle.ru  secretary@mosbizclub.ru  
Еженедельник Metro Челябинск газета;metroblog@metronews.ru  
Качественный-продукт.рф газета;kprodukt@mail.ru  pr1@donexpocentre.ru  fominykhevgeny@gmail.com  kcprofi21@rambler.ru  2dtk@narod.ru  
Дербенд республиканская газета;gazetaderbend@mail.ru  ;
Обработка металлов (Технология. Оборудование. Инструменты) журнал;office@publish.nstu.ru  machine-building@mail.ru  metal_working@mail.ru  
Жигулёвский рабочий газета;samddn@samddn.ru  
В каждый дом Новороссийска газета;gp-nvr@yandex.ru  
Житьё-бытьё газета;web@kpv.ru  lip@kpv.ru  moe-belgorod@mail.ru  rb@region.kpv.ru  moe@kpv.ru  
Шахри Казан газета;shahri-kazan@tatmedia.com  
Высшее образование сегодня журнал;printmediaipk@mail.ru  
Азбука невесты журнал;apr-nv@mail.ru  
Роднулечка семейный журнал;rodnulechka63@yandex.ru  
Агротайм журнал;agrotime2013@mail.ru  agrotime-om@mail.ru  agrotime-reklama@mail.ru  sbs@enisey-servis.ru  victor-pauls@yandex.ru  
Беловский вестник газета;vestnik-belovo@mail.ru  
SILAVETRA журнал;allo@silavetra.com  magazine@silavetra.com  
ГородокЪ+ газета;manakova.l@gazeta-gorodok.ru  
Алтайская нива газета;altniva@inbox.ru  
Тюменский курьер газета;464994@mail.ru  
ЭХО МОСКВЫ;problem@echo.msk.ru  echo@echo.msk.ru  
Акционерное общество журнал;zara.80@mail.ru  if-info1@minbank.ru  seminar-ao@mail.ru  info@ao-journal.ru  podpiska@ao-journal.ru  
Братский университет газета;rector@brstu.ru  
Женский клуб Марий Эл журнал;badanov@list.ru  
Regional Research of Russia журнал;seriesgeogr@mail.ru  compmg@maik.ru  customerservice@springer.com  subscriptions@springer.com  
Ивановский бизнесЪ журнал;www@ivbm.ru  
Псковские новости газета;nwpskov2014@yandex.ru  oba@nwpskov.ru  komova@nwpskov.ru  alexandra@nwpskov.ru  nw@nwpskov.ru  
Демография поколений журнал;chebotarev@utmn.ru  yaroslavovasb@gmail.com  
Солтүстік Қазақстан газета;kyzylzhar_akparat@mail.ru  ;
Губернские новости газета;vesti70@yandex.ru  
Законность журнал;pressazakon@yandex.ru  g.ulviyye.nadir@gmail.com  pensero1@yandex.ru  o.s.guzeeva@mail.ru  iliadikarev@volsu.ru  
Закупки Якутии журнал;zakupki@s-vfu.ru  
Металлообработка журнал;bts@polytenics.ru  sales@polytechnics.ru  20gfm@polytechnics.spb.ru  gfm@polytechnics.spb.ru  
Транспортная стратегия XXI век журнал;1@sovstrat.ru  4otdel2008@sovstrat.ru  maket@sovstrat.ru  
Энциклопедия русского авангарда журнал;ru.avangard@yandex.ru  liya.ch@jewish-museum.ru  
Территория NDT журнал;kleyzer@yandex.ru  
Здравствуйте Нефтеюганцы! газета;znugansk@mail.ru  
Телеком газета;gazeta@telekom-media.ru  
Связь и ;
#primeTIME журнал;webmaster@prime-time-magazine.ru  office@prime-time-magazine.ru  prime-time63@mail.ru  
Ломоносовская Ярмарка газета;yarmarka06@yandex.ru  alekseylp@yandex.ru  
Моя Империя журнал;myimperia@mail.ru  opt@garmonia-dvery.ru  
Местная Восток газета;tm@reg.ru  you@yourcompany.com  test@example.com  test@test.ru  ncc@test.ru  
Люди и вещи. Shopping журнал;redactor@argentummag.ru  
Нефтегазовое оборудование бюллетень;info@romashka.ru  prd@slant.ru  info@n-g-k.ru  
Экстра-Бизнес рекламно-информационная газета;info@extra-s.ru  
